visit_id,cookie_id,page_id,event_type,sequence_number,event_time
9c2633,6512bd,7,1,5,"2020-01-17 05:01:23"
9c2633,6512bd,8,1,6,"2020-01-17 05:02:20"
9c2633,6512bd,9,1,7,"2020-01-17 05:02:47"
9c2633,6512bd,9,2,8,"2020-01-17 05:03:15"
9c2633,6512bd,10,1,9,"2020-01-17 05:03:15"
9c2633,6512bd,11,1,10,"2020-01-17 05:03:41"
d69e73,c20ad4,1,1,1,"2020-02-06 09:09:06"
d69e73,c20ad4,4,1,2,"2020-02-06 09:10:01"
d69e73,c20ad4,5,1,3,"2020-02-06 09:11:00"
d69e73,c20ad4,9,1,4,"2020-02-06 09:11:27"
d69e73,c20ad4,9,2,5,"2020-02-06 09:11:48"
d69e73,c20ad4,12,1,6,"2020-02-06 09:12:15"
c70085,c51ce4,1,1,1,"2020-02-12 08:26:14"
c70085,c51ce4,2,1,2,"2020-02-12 08:26:23"
c70085,c51ce4,4,1,3,"2020-02-12 08:27:07"
c70085,c51ce4,5,1,4,"2020-02-12 08:27:31"
c70085,c51ce4,10,1,5,"2020-02-12 08:28:05"
c70085,c51ce4,10,2,6,"2020-02-12 08:28:52"
c70085,c51ce4,12,1,7,"2020-02-12 08:28:53"
6a20a3,aab323,1,1,1,"2020-01-12 02:49:32"
6a20a3,aab323,2,1,2,"2020-01-12 02:50:11"
6a20a3,aab323,3,1,3,"2020-01-12 02:51:02"
6a20a3,aab323,3,2,4,"2020-01-12 02:51:10"
6a20a3,aab323,5,1,5,"2020-01-12 02:51:14"
6a20a3,aab323,6,1,6,"2020-01-12 02:52:03"
6a20a3,aab323,10,1,7,"2020-01-12 02:52:17"
6a20a3,aab323,11,1,8,"2020-01-12 02:52:57"
6a20a3,aab323,12,1,9,"2020-01-12 02:53:00"
4b5d1b,9bf31c,1,1,1,"2020-01-28 04:56:41"
4b5d1b,9bf31c,2,1,2,"2020-01-28 04:57:16"
4b5d1b,9bf31c,3,1,3,"2020-01-28 04:57:24"
4b5d1b,9bf31c,3,2,4,"2020-01-28 04:57:30"
4b5d1b,9bf31c,9,1,5,"2020-01-28 04:58:05"
4b5d1b,9bf31c,9,2,6,"2020-01-28 04:58:54"
4b5d1b,9bf31c,11,1,7,"2020-01-28 04:59:11"
4b5d1b,9bf31c,12,1,8,"2020-01-28 05:00:03"
4b5d1b,9bf31c,13,3,9,"2020-01-28 05:00:58"
69440b,c74d97,1,1,1,"2020-01-06 21:45:51"
69440b,c74d97,2,1,2,"2020-01-06 21:46:36"
69440b,c74d97,11,1,3,"2020-01-06 21:46:42"
69440b,c74d97,11,2,4,"2020-01-06 21:47:11"
69440b,c74d97,12,1,5,"2020-01-06 21:47:52"
69440b,c74d97,13,3,6,"2020-01-06 21:48:35"
e70fd5,70efdf,1,1,1,"2020-02-17 10:05:51"
e70fd5,70efdf,2,1,2,"2020-02-17 10:06:37"
e70fd5,70efdf,4,1,3,"2020-02-17 10:06:54"
e70fd5,70efdf,4,2,4,"2020-02-17 10:07:51"
e70fd5,70efdf,6,1,5,"2020-02-17 10:08:07"
e70fd5,70efdf,6,2,6,"2020-02-17 10:09:05"
e70fd5,70efdf,9,1,7,"2020-02-17 10:09:51"
e70fd5,70efdf,11,1,8,"2020-02-17 10:10:26"
e70fd5,70efdf,12,1,9,"2020-02-17 10:11:17"
48810d,6f4922,1,1,1,"2020-02-29 15:26:41"
48810d,6f4922,2,1,2,"2020-02-29 15:27:15"
48810d,6f4922,8,1,3,"2020-02-29 15:27:53"
48810d,6f4922,9,1,4,"2020-02-29 15:28:28"
fdf383,1f0e3d,1,1,1,"2020-02-11 13:52:24"
fdf383,1f0e3d,2,1,2,"2020-02-11 13:53:24"
fdf383,1f0e3d,3,1,3,"2020-02-11 13:53:24"
fdf383,1f0e3d,3,2,4,"2020-02-11 13:54:01"
fdf383,1f0e3d,4,1,5,"2020-02-11 13:54:48"
fdf383,1f0e3d,5,1,6,"2020-02-11 13:55:01"
fdf383,1f0e3d,6,1,7,"2020-02-11 13:55:39"
fdf383,1f0e3d,12,1,8,"2020-02-11 13:56:06"
fdf383,1f0e3d,13,3,9,"2020-02-11 13:56:48"
378a75,98f137,1,1,1,"2020-02-12 23:33:51"
378a75,98f137,2,1,2,"2020-02-12 23:34:09"
378a75,98f137,8,1,3,"2020-02-12 23:34:55"
378a75,98f137,9,1,4,"2020-02-12 23:35:03"
a67606,3c59dc,1,1,1,"2020-02-14 21:10:09"
a67606,3c59dc,4,1,2,"2020-02-14 21:10:26"
a67606,3c59dc,8,1,3,"2020-02-14 21:11:20"
a67606,3c59dc,9,1,4,"2020-02-14 21:12:18"
a67606,3c59dc,9,2,5,"2020-02-14 21:13:02"
a67606,3c59dc,12,1,6,"2020-02-14 21:13:29"
a67606,3c59dc,13,3,7,"2020-02-14 21:14:06"
71740f,b6d767,1,1,1,"2020-02-08 21:30:49"
71740f,b6d767,2,1,2,"2020-02-08 21:31:07"
71740f,b6d767,4,1,3,"2020-02-08 21:32:06"
71740f,b6d767,4,2,4,"2020-02-08 21:32:44"
71740f,b6d767,5,1,5,"2020-02-08 21:33:02"
71740f,b6d767,6,1,6,"2020-02-08 21:33:53"
71740f,b6d767,7,1,7,"2020-02-08 21:34:03"
71740f,b6d767,7,2,8,"2020-02-08 21:34:04"
71740f,b6d767,8,1,9,"2020-02-08 21:34:24"
71740f,b6d767,8,2,10,"2020-02-08 21:35:02"
71740f,b6d767,9,1,11,"2020-02-08 21:35:14"
71740f,b6d767,9,2,12,"2020-02-08 21:35:50"
71740f,b6d767,10,1,13,"2020-02-08 21:35:56"
71740f,b6d767,10,2,14,"2020-02-08 21:36:09"
71740f,b6d767,11,1,15,"2020-02-08 21:36:29"
71740f,b6d767,11,2,16,"2020-02-08 21:36:44"
71740f,b6d767,12,1,17,"2020-02-08 21:37:38"
71740f,b6d767,13,3,18,"2020-02-08 21:38:14"
d7fa36,37693c,1,1,1,"2020-01-16 22:30:02"
d7fa36,37693c,2,1,2,"2020-01-16 22:30:53"
d7fa36,37693c,4,1,3,"2020-01-16 22:31:12"
d7fa36,37693c,5,1,4,"2020-01-16 22:31:24"
d7fa36,37693c,9,1,5,"2020-01-16 22:31:34"
