user_id,cookie_id,start_date
51,283802,"2020-01-04 00:00:00"
52,9a1158,"2020-02-19 00:00:00"
53,d82c8d,"2020-02-06 00:00:00"
54,a684ec,"2020-01-30 00:00:00"
55,b53b3a,"2020-01-26 00:00:00"
56,9f6140,"2020-02-24 00:00:00"
57,72b32a,"2020-01-06 00:00:00"
58,66f041,"2020-01-26 00:00:00"
59,093f65,"2020-01-31 00:00:00"
60,072b03,"2020-01-19 00:00:00"
61,7f39f8,"2020-02-06 00:00:00"
62,44f683,"2020-02-04 00:00:00"
63,03afdb,"2020-02-21 00:00:00"
64,ea5d2f,"2020-01-29 00:00:00"
65,fc490c,"2020-01-15 00:00:00"
66,3295c7,"2020-01-13 00:00:00"
67,735b90,"2020-02-16 00:00:00"
68,a3f390,"2020-01-07 00:00:00"
69,14bfa6,"2020-01-02 00:00:00"
70,7cbbc4,"2020-01-04 00:00:00"
71,e2c420,"2020-02-03 00:00:00"
72,32bb90,"2020-01-13 00:00:00"
73,d2ddea,"2020-02-13 00:00:00"
74,ad61ab,"2020-02-11 00:00:00"
75,d09bf4,"2020-01-19 00:00:00"
76,fbd793,"2020-02-26 00:00:00"
77,28dd2c,"2020-01-14 00:00:00"
78,35f4a8,"2020-01-15 00:00:00"
79,d1fe17,"2020-02-11 00:00:00"
80,f033ab,"2020-01-22 00:00:00"
81,43ec51,"2020-02-26 00:00:00"
82,9778d5,"2020-01-12 00:00:00"
83,fe9fc2,"2020-02-28 00:00:00"
84,68d30a,"2020-02-23 00:00:00"
85,3ef815,"2020-02-14 00:00:00"
86,93db85,"2020-01-13 00:00:00"
87,c7e124,"2020-01-15 00:00:00"
88,2a38a4,"2020-01-19 00:00:00"
89,764796,"2020-01-07 00:00:00"
90,861398,"2020-02-17 00:00:00"
91,54229a,"2020-01-09 00:00:00"
92,92cc22,"2020-02-12 00:00:00"
93,98dce8,"2020-01-15 00:00:00"
94,f4b9ec,"2020-02-19 00:00:00"
95,812b4b,"2020-02-08 00:00:00"
96,26657d,"2020-01-18 00:00:00"
97,e2ef52,"2020-01-20 00:00:00"
98,ed3d2c,"2020-01-11 00:00:00"
99,ac627a,"2020-02-22 00:00:00"
100,f89913,"2020-01-19 00:00:00"
101,38b3ef,"2020-02-28 00:00:00"
102,ec8956,"2020-01-23 00:00:00"
103,6974ce,"2020-01-12 00:00:00"
104,c9e107,"2020-02-18 00:00:00"
105,65b9ee,"2020-02-21 00:00:00"
106,f0935e,"2020-02-23 00:00:00"
107,a97da6,"2020-01-19 00:00:00"
108,a3c65c,"2020-02-02 00:00:00"
109,2723d0,"2020-01-02 00:00:00"
110,5f93f9,"2020-02-22 00:00:00"
111,698d51,"2020-02-09 00:00:00"
112,7f6ffa,"2020-01-28 00:00:00"
113,73278a,"2020-02-17 00:00:00"
114,5fd0b3,"2020-01-29 00:00:00"
115,2b4492,"2020-01-13 00:00:00"
116,c45147,"2020-02-08 00:00:00"
117,eb160d,"2020-01-03 00:00:00"
118,5ef059,"2020-01-18 00:00:00"
119,07e1cd,"2020-02-08 00:00:00"
120,da4fb5,"2020-02-13 00:00:00"
121,4c56ff,"2020-01-07 00:00:00"
122,a0a080,"2020-01-07 00:00:00"
123,202cb9,"2020-02-14 00:00:00"
124,c8ffe9,"2020-01-01 00:00:00"
125,3def18,"2020-02-01 00:00:00"
126,069059,"2020-01-13 00:00:00"
127,ec5dec,"2020-01-04 00:00:00"
128,76dc61,"2020-02-14 00:00:00"
129,d1f491,"2020-01-24 00:00:00"
130,9b8619,"2020-02-19 00:00:00"
131,1afa34,"2020-02-01 00:00:00"
132,65ded5,"2020-01-27 00:00:00"
133,9fc3d7,"2020-01-03 00:00:00"
134,02522a,"2020-02-26 00:00:00"
135,7f1de2,"2020-02-10 00:00:00"
136,42a0e1,"2020-01-14 00:00:00"
137,3988c7,"2020-02-06 00:00:00"
138,013d40,"2020-01-03 00:00:00"
139,e00da0,"2020-02-13 00:00:00"
140,138597,"2020-01-28 00:00:00"
141,0f28b5,"2020-02-25 00:00:00"
142,a8baa5,"2020-02-11 00:00:00"
143,903ce9,"2020-01-17 00:00:00"
144,0a09c8,"2020-02-01 00:00:00"
145,2b24d4,"2020-01-22 00:00:00"
146,a5e001,"2020-01-01 00:00:00"
147,8d5e95,"2020-02-05 00:00:00"
148,47d1e9,"2020-02-03 00:00:00"
149,f22170,"2020-01-19 00:00:00"
150,7ef605,"2020-02-12 00:00:00"
151,a8f15e,"2020-02-03 00:00:00"
152,37a749,"2020-02-27 00:00:00"
153,b3e3e3,"2020-02-18 00:00:00"
154,1d7f7a,"2020-01-30 00:00:00"
155,2a79ea,"2020-01-05 00:00:00"
156,1c9ac0,"2020-01-24 00:00:00"
157,6c4b76,"2020-01-28 00:00:00"
158,064096,"2020-01-29 00:00:00"
159,140f69,"2020-01-02 00:00:00"
160,b73ce3,"2020-01-31 00:00:00"
161,bd4c9a,"2020-02-08 00:00:00"
162,82aa4b,"2020-02-02 00:00:00"
163,0777d5,"2020-01-14 00:00:00"
164,fa7cdf,"2020-02-21 00:00:00"
165,976652,"2020-02-04 00:00:00"
166,7e7757,"2020-02-23 00:00:00"
167,5878a7,"2020-01-10 00:00:00"
168,006f52,"2020-01-03 00:00:00"
169,363663,"2020-01-16 00:00:00"
170,149e96,"2020-02-26 00:00:00"
171,a4a042,"2020-01-10 00:00:00"
172,1ff8a7,"2020-02-04 00:00:00"
173,f7e6c8,"2020-01-02 00:00:00"
174,bf8229,"2020-02-05 00:00:00"
175,821612,"2020-02-20 00:00:00"
176,38af86,"2020-01-06 00:00:00"
177,96da2f,"2020-02-20 00:00:00"
178,8f8551,"2020-02-16 00:00:00"
179,8f5329,"2020-02-15 00:00:00"
180,045117,"2020-01-24 00:00:00"
181,fc2213,"2020-01-06 00:00:00"
182,4c5bde,"2020-01-22 00:00:00"
183,cedebb,"2020-02-20 00:00:00"
184,6cdd60,"2020-01-31 00:00:00"
185,eecca5,"2020-01-24 00:00:00"
186,9872ed,"2020-02-20 00:00:00"
187,31fefc,"2020-01-05 00:00:00"
188,9dcb88,"2020-02-23 00:00:00"
189,a2557a,"2020-02-11 00:00:00"
190,cfecdb,"2020-01-04 00:00:00"
191,0aa188,"2020-02-21 00:00:00"
192,58a2fc,"2020-02-12 00:00:00"
193,bd686f,"2020-02-19 00:00:00"
194,a597e5,"2020-02-15 00:00:00"
195,0336dc,"2020-01-02 00:00:00"
196,084b6f,"2020-02-09 00:00:00"
197,85d8ce,"2020-01-24 00:00:00"
198,0e6597,"2020-01-03 00:00:00"
199,84d9ee,"2020-02-17 00:00:00"
200,3644a6,"2020-01-02 00:00:00"
